citekey,domain,grader,fig,pass_pct,score
@starchReliabilityGradingWork1913a,math,teacher,2,75,66
@starchReliabilityGradingWork1913a,math,teacher,2,75,67
@starchReliabilityGradingWork1913a,math,teacher,2,75,67
@starchReliabilityGradingWork1913a,math,teacher,2,75,67
@starchReliabilityGradingWork1913a,math,teacher,2,75,68
@starchReliabilityGradingWork1913a,math,teacher,2,75,69
@starchReliabilityGradingWork1913a,math,teacher,2,75,69
@starchReliabilityGradingWork1913a,math,teacher,2,75,70
@starchReliabilityGradingWork1913a,math,teacher,2,75,70
@starchReliabilityGradingWork1913a,math,teacher,2,75,72
@starchReliabilityGradingWork1913a,math,teacher,2,75,74
@starchReliabilityGradingWork1913a,math,teacher,2,75,74
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,76
@starchReliabilityGradingWork1913a,math,teacher,2,75,77
@starchReliabilityGradingWork1913a,math,teacher,2,75,78
@starchReliabilityGradingWork1913a,math,teacher,2,75,78
@starchReliabilityGradingWork1913a,math,teacher,2,75,78
@starchReliabilityGradingWork1913a,math,teacher,2,75,79
@starchReliabilityGradingWork1913a,math,teacher,2,75,79
@starchReliabilityGradingWork1913a,math,teacher,2,75,79
@starchReliabilityGradingWork1913a,math,teacher,2,75,79
@starchReliabilityGradingWork1913a,math,teacher,2,75,80
@starchReliabilityGradingWork1913a,math,teacher,2,75,80
@starchReliabilityGradingWork1913a,math,teacher,2,75,81
@starchReliabilityGradingWork1913a,math,teacher,2,75,81
@starchReliabilityGradingWork1913a,math,teacher,2,75,83
@starchReliabilityGradingWork1913a,math,teacher,2,75,83
@starchReliabilityGradingWork1913a,math,teacher,2,75,84
@starchReliabilityGradingWork1913a,math,teacher,2,75,84
@starchReliabilityGradingWork1913a,math,teacher,2,75,85
@starchReliabilityGradingWork1913a,math,teacher,2,75,86
@starchReliabilityGradingWork1913a,math,teacher,2,75,86
@starchReliabilityGradingWork1913a,math,teacher,2,75,87
@starchReliabilityGradingWork1913a,math,teacher,2,75,88





































